epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,286.925,0.7276,0.95226,1.19628,0.96131,0.90055,0.94756,0.70725,0.97204,0.73765,1.48283,0.0005941,0.0005941,0.0005941
43,293.541,0.68731,0.84608,1.17055,0.95587,0.89956,0.94722,0.70468,0.97814,0.71359,1.47717,0.0005842,0.0005842,0.0005842
44,300.766,0.72988,0.83642,1.14484,0.92706,0.85229,0.91756,0.65835,1.02335,0.86594,1.5188,0.0005743,0.0005743,0.0005743
45,306.412,0.70034,0.76262,1.17642,0.90725,0.86183,0.91328,0.66447,0.99759,0.94669,1.49542,0.0005644,0.0005644,0.0005644
46,314.365,0.71926,0.84079,1.16603,0.93503,0.8983,0.91772,0.68078,0.93516,0.87234,1.42851,0.0005545,0.0005545,0.0005545
47,320.321,0.70185,0.74341,1.14454,0.95417,0.85994,0.92101,0.6624,0.97611,0.88681,1.45071,0.0005446,0.0005446,0.0005446
48,326.025,0.71902,0.84695,1.16957,0.9831,0.84861,0.91521,0.65076,1.00514,0.85191,1.47319,0.0005347,0.0005347,0.0005347
49,334.15,0.66009,0.74541,1.10765,0.96247,0.87465,0.92756,0.66189,0.9979,0.80895,1.49085,0.0005248,0.0005248,0.0005248
50,339.698,0.66264,0.76145,1.13651,0.9337,0.90598,0.94401,0.68374,0.95412,0.75536,1.44941,0.0005149,0.0005149,0.0005149
51,345.552,0.68286,0.75057,1.13089,0.92103,0.92193,0.94295,0.6516,1.0374,0.76036,1.5333,0.000505,0.000505,0.000505
52,353.785,0.63297,0.73108,1.11807,0.92076,0.90532,0.94554,0.67939,1.03245,0.76794,1.52914,0.0004951,0.0004951,0.0004951
53,359.092,0.64284,0.71215,1.1048,0.94686,0.88505,0.93821,0.66478,1.0161,0.76204,1.54165,0.0004852,0.0004852,0.0004852
54,366.256,0.65194,0.74439,1.12226,0.88766,0.92677,0.94698,0.7039,0.95859,0.71508,1.47056,0.0004753,0.0004753,0.0004753
55,372.992,0.68625,0.67313,1.12884,0.94983,0.89091,0.94798,0.70696,0.97625,0.69111,1.47528,0.0004654,0.0004654,0.0004654
56,378.34,0.61954,0.70093,1.08386,0.93558,0.88731,0.94685,0.69826,0.9601,0.70695,1.43685,0.0004555,0.0004555,0.0004555
57,386.877,0.66838,0.75261,1.17643,0.93636,0.92215,0.95296,0.71707,0.96207,0.69539,1.44759,0.0004456,0.0004456,0.0004456
58,392.639,0.65444,0.74755,1.13312,0.95665,0.91332,0.95074,0.73032,0.94654,0.72779,1.43929,0.0004357,0.0004357,0.0004357
59,398.131,0.60429,0.67882,1.09443,0.95965,0.92647,0.94441,0.71757,0.94309,0.72248,1.44601,0.0004258,0.0004258,0.0004258
60,406.984,0.68544,0.76961,1.16441,0.96466,0.89633,0.94072,0.72357,0.91528,0.70915,1.41682,0.0004159,0.0004159,0.0004159
61,412.41,0.60849,0.75968,1.08819,0.97362,0.90842,0.94255,0.71274,0.92921,0.70493,1.42998,0.000406,0.000406,0.000406
62,418.496,0.62505,0.75733,1.10231,0.91998,0.88858,0.93558,0.69976,0.94585,0.73012,1.43598,0.0003961,0.0003961,0.0003961
63,426.108,0.63399,0.68091,1.10213,0.89783,0.89477,0.93598,0.69864,0.93099,0.73883,1.4207,0.0003862,0.0003862,0.0003862
64,431.541,0.58093,0.64382,1.07434,0.87771,0.88809,0.92689,0.6866,0.95824,0.76564,1.45216,0.0003763,0.0003763,0.0003763
65,438.412,0.72869,0.73206,1.24535,0.95357,0.90065,0.93629,0.70127,0.93254,0.67551,1.43648,0.0003664,0.0003664,0.0003664
66,445.465,0.52727,0.58749,1.03943,0.98719,0.92808,0.94697,0.73206,0.92729,0.63036,1.44696,0.0003565,0.0003565,0.0003565
67,450.859,0.60378,0.70546,1.09573,0.92148,0.92092,0.94079,0.7279,0.93605,0.62471,1.46911,0.0003466,0.0003466,0.0003466
68,458.774,0.59218,0.60257,1.0958,0.98326,0.91156,0.93736,0.72336,0.91523,0.64468,1.4442,0.0003367,0.0003367,0.0003367
69,464.866,0.53439,0.57035,1.05941,0.98757,0.90361,0.93378,0.70266,0.95079,0.66612,1.46394,0.0003268,0.0003268,0.0003268
70,470.229,0.57283,0.63163,1.06262,0.98583,0.89688,0.93371,0.70562,0.95032,0.64505,1.48269,0.0003169,0.0003169,0.0003169
71,478.467,0.52494,0.56424,1.0417,0.98532,0.89641,0.93703,0.72807,0.92738,0.63301,1.46266,0.000307,0.000307,0.000307
72,484.149,0.59103,0.67075,1.09542,0.98601,0.89654,0.93699,0.70689,0.9823,0.64553,1.5352,0.0002971,0.0002971,0.0002971
73,490.126,0.58638,0.65954,1.07011,0.98894,0.90123,0.93837,0.70702,0.95718,0.64361,1.4904,0.0002872,0.0002872,0.0002872
74,497.984,0.5106,0.54861,1.02339,0.94258,0.91209,0.93648,0.6936,0.97332,0.65822,1.48956,0.0002773,0.0002773,0.0002773
75,503.31,0.54077,0.61553,1.06195,0.92928,0.90105,0.93236,0.71127,0.94738,0.68475,1.46632,0.0002674,0.0002674,0.0002674
76,510.189,0.53425,0.61856,1.04355,0.97984,0.88325,0.93211,0.71536,0.95426,0.67928,1.46752,0.0002575,0.0002575,0.0002575
77,517.414,0.48287,0.57241,1.0004,0.9654,0.90204,0.93755,0.71856,0.94236,0.65655,1.46991,0.0002476,0.0002476,0.0002476
78,522.686,0.57651,0.62794,1.11793,0.91445,0.91707,0.94051,0.70729,0.98066,0.68037,1.52226,0.0002377,0.0002377,0.0002377
79,530.956,0.71,0.68559,1.19723,0.94864,0.873,0.93692,0.71061,0.96168,0.68069,1.4943,0.0002278,0.0002278,0.0002278
80,536.901,0.64102,0.81325,1.16408,0.98429,0.88091,0.94136,0.7257,0.93017,0.63771,1.46859,0.0002179,0.0002179,0.0002179
81,542.213,0.4957,0.61661,1.03907,0.96866,0.89865,0.93952,0.72155,0.939,0.62082,1.47551,0.000208,0.000208,0.000208
82,551.905,0.4934,0.5353,1.01818,0.98284,0.89912,0.93756,0.71707,0.93095,0.61728,1.46643,0.0001981,0.0001981,0.0001981
83,558.59,0.50391,0.53252,1.04487,0.9734,0.90062,0.93825,0.72192,0.91606,0.63021,1.45487,0.0001882,0.0001882,0.0001882
84,563.776,0.50168,0.59161,1.03971,0.97026,0.90224,0.93711,0.72422,0.92497,0.62895,1.46817,0.0001783,0.0001783,0.0001783
85,572.53,0.4745,0.54959,1.00772,0.95334,0.91058,0.9356,0.73372,0.90866,0.63255,1.45233,0.0001684,0.0001684,0.0001684
86,577.87,0.45925,0.5681,1.00189,0.97194,0.90043,0.93582,0.73301,0.9148,0.63794,1.45858,0.0001585,0.0001585,0.0001585
87,584.167,0.46859,0.50685,1.02191,0.96527,0.89904,0.9377,0.72507,0.91811,0.64038,1.46826,0.0001486,0.0001486,0.0001486
88,591.547,0.47138,0.49927,1.07204,0.96745,0.90317,0.94388,0.72741,0.91588,0.63398,1.47242,0.0001387,0.0001387,0.0001387
89,597.051,0.48706,0.53665,1.02425,0.96552,0.90741,0.94002,0.72876,0.92209,0.63307,1.4651,0.0001288,0.0001288,0.0001288
90,604.77,0.51319,0.55449,1.04982,0.97339,0.91639,0.94382,0.72687,0.92136,0.61802,1.46394,0.0001189,0.0001189,0.0001189
91,613.464,0.43713,0.82271,1.00915,0.97248,0.8996,0.93914,0.72247,0.92223,0.6365,1.47667,0.000109,0.000109,0.000109
92,620.53,0.43377,0.73511,1.00389,0.95168,0.89196,0.93077,0.70514,0.97689,0.7068,1.54473,9.91e-05,9.91e-05,9.91e-05
93,626.995,0.37042,0.55084,0.95008,0.97943,0.89484,0.93024,0.71014,0.96559,0.71519,1.54003,8.92e-05,8.92e-05,8.92e-05
94,632.369,0.36054,0.47544,0.94003,0.96782,0.8964,0.93184,0.72041,0.93332,0.65895,1.533,7.93e-05,7.93e-05,7.93e-05
95,640.112,0.35345,0.45305,0.95775,0.95153,0.90003,0.93477,0.72961,0.93078,0.65516,1.5343,6.94e-05,6.94e-05,6.94e-05
96,646.143,0.40635,0.49604,1.00693,0.94524,0.90219,0.93456,0.71846,0.93034,0.64182,1.52172,5.95e-05,5.95e-05,5.95e-05
97,651.043,0.33607,0.44567,0.91217,0.94363,0.89876,0.93587,0.7186,0.93152,0.64136,1.51908,4.96e-05,4.96e-05,4.96e-05
98,658.889,0.34722,0.4503,0.92381,0.94815,0.89322,0.93769,0.72195,0.93075,0.64249,1.5179,3.97e-05,3.97e-05,3.97e-05
99,664.87,0.33949,0.46598,0.94073,0.94954,0.89238,0.93762,0.72447,0.91565,0.64078,1.4995,2.98e-05,2.98e-05,2.98e-05
100,670.184,0.38423,0.50877,0.99821,0.95132,0.89054,0.93857,0.73084,0.9109,0.63702,1.49982,1.99e-05,1.99e-05,1.99e-05
